total_ride_count,total_distance,total_duration,total_earnings,perday_ridecount_var,perday_ridecount_mean,accept_response_time_mean,accept_response_time_var,arrival_time_mean,arrival_time_var,wait_time_mean,wait_time_var,speed_mean,speed_var,long_ride,med_ride,short_ride,evening_ride,morning_ride,night_ride,cluster
31,117531,20497,321.4346979791667,1.0715506715506715,0.34065934065934067,11.838709677419354,258.13978494623655,177.16129032258064,6395.47311827957,4.870967741935484,6395.47311827957,20.544013631760745,6395.47311827957,0.0,1.0,30.0,24.0,6.0,1.0,0
34,269653,29205,482.2992060125,1.214407814407816,0.37362637362637363,7.294117647058823,16.638146167557935,223.23529411764707,17208.73083778966,4.088235294117647,17208.73083778966,25.24834983537048,17208.73083778966,3.0,2.0,29.0,24.0,8.0,2.0,0
53,257670,50447,686.1047646999999,2.1792429792429795,0.5824175824175825,6.660377358490566,54.613207547169814,248.26415094339623,31192.81349782294,5.830188679245283,31192.81349782294,18.427337723515148,31192.81349782294,2.0,2.0,49.0,33.0,18.0,2.0,0
56,455475,50021,784.1179286249996,4.217094017094029,0.6153846153846154,24.910714285714285,3382.373701298701,238.42857142857142,22982.976623376628,2.392857142857143,22982.976623376628,27.72526704480966,22982.976623376628,5.0,11.0,40.0,25.0,15.0,16.0,0
38,245552,30430,470.4342985625001,0.7570207570207563,0.4175824175824176,10.157894736842104,76.08250355618776,253.97368421052633,31692.29658605974,2.736842105263158,31692.29658605974,25.049441469614944,31692.29658605974,3.0,4.0,31.0,26.0,0.0,12.0,0
43,254250,35639,502.97795517083324,2.4964590964591062,0.4725274725274725,11.069767441860465,271.828349944629,262.16279069767444,26746.568106312287,2.883720930232558,26746.568106312287,22.79282367028862,26746.568106312287,2.0,3.0,38.0,39.0,3.0,1.0,0
55,466193,57344,885.5272653416666,2.5973137973137908,0.6043956043956044,8.145454545454545,79.01548821548822,211.3272727272727,16444.81683501684,2.109090909090909,16444.81683501684,26.343249842818135,16444.81683501684,10.0,7.0,38.0,14.0,28.0,13.0,0
56,361814,47006,736.4210489208333,3.3948717948718006,0.6153846153846154,6.410714285714286,11.155519480519478,235.91071428571428,35016.99188311689,2.607142857142857,35016.99188311689,24.890385262795338,35016.99188311689,4.0,10.0,42.0,33.0,19.0,4.0,0
32,313768,32534,504.5541393791667,1.097191697191696,0.3516483516483517,10.4375,30.124999999999993,426.125,111698.8870967742,6.0,111698.8870967742,28.76422702338401,111698.8870967742,6.0,7.0,19.0,2.0,30.0,0.0,0
46,409881,42498,710.2044303833333,1.830525030525032,0.5054945054945055,14.195652173913043,314.96086956521737,324.7826086956522,27495.285024154586,10.543478260869565,27495.285024154586,30.40360527071047,27495.285024154586,6.0,13.0,27.0,22.0,2.0,22.0,0
44,221997,35106,557.9168183583333,3.4969474969474885,0.4835164835164835,9.431818181818182,292.0184989429175,191.1590909090909,14155.34619450317,2.227272727272727,14155.34619450317,21.216737566708122,14155.34619450317,1.0,8.0,35.0,4.0,36.0,4.0,0
22,106079,15227,252.8301339958333,1.0964590964590957,0.24175824175824176,11.818181818181818,184.82251082251082,249.1818181818182,25259.679653679657,15.863636363636363,25259.679653679657,23.41861691808454,25259.679653679657,1.0,2.0,19.0,8.0,2.0,12.0,0
192,915768,154464,2163.887920608333,11.854456654456659,2.10989010989011,12.90625,744.3367146596858,281.1614583333333,36482.502590532284,7.734375,36482.502590532284,19.90798396646873,36482.502590532284,9.0,15.0,168.0,31.0,160.0,1.0,0
36,179863,25484,399.0979519125,1.130647130647131,0.3956043956043956,9.38888888888889,48.98730158730158,146.69444444444446,6852.961111111112,2.3055555555555554,6852.961111111112,23.828162756244303,6852.961111111112,0.0,5.0,31.0,0.0,0.0,36.0,0
